"Year","ROE_P1","ROE_P2","ROE_P3","ROE_P4","ROE_LS","ROIC_P1","ROIC_P2","ROIC_P3","ROIC_P4","ROIC_LS","OP_Margin_P1","OP_Margin_P2","OP_Margin_P3","OP_Margin_P4","OP_Margin_LS","Excess_Return_P1","Excess_Return_P2","Excess_Return_P3","Excess_Return_P4","Excess_Return_LS","MB_Ratio_P1","MB_Ratio_P2","MB_Ratio_P3","MB_Ratio_P4","MB_Ratio_LS","DY_P1","DY_P2","DY_P3","DY_P4","DY_LS"
2002,19.0258,26.4541509433962,12.4988679245283,15.2941071428571,-3.73169285714286,13.2598076923077,9.13056603773585,7.65547169811321,9.72053571428571,-3.53927197802198,16.6128846153846,14.0924528301887,16.1628301886792,16.3066071428571,-0.306277472527473,-17.7104283964094,-20.2992392232496,-19.9564954424228,-22.9804980389866,-5.27006964257717,NA,NA,NA,NA,NA,0.908076923076923,1.37415094339623,2.30716981132075,1.88690909090909,0.978832167832168
2003,22.9840384615385,17.6003703703704,15.727962962963,18.9931481481481,-3.99089031339031,15.8007547169811,12.1740740740741,8.86037037037037,12.212962962963,-3.58779175401817,17.6671698113208,14.5431481481481,18.6281481481481,18.4974074074074,0.830237596086654,47.8450133591455,57.0402307227633,56.8727503120475,44.6841868793384,-3.16082647980706,3.1891625,3.23975714285714,2.225475,3.04093921568627,-0.148223284313726,1.06924528301887,2.12203703703704,2.33584905660377,2.59444444444444,1.52519916142558
2004,22.3280303030303,23.3969117647059,25.7286764705882,18.8176388888889,-3.51039141414141,15.6848529411765,15.0070588235294,12.5848529411765,12.9776388888889,-2.70721405228758,16.6511764705882,13.8623188405797,20.8279710144928,16.3931944444444,-0.257982026143793,18.2166683176364,17.1838166863052,11.7330253974225,8.72782933745517,-9.48883898018127,4.05241851851852,11.6683769230769,4.48917903225806,3.35568805970149,-0.696730458817025,0.967272727272727,1.42865671641791,1.81909090909091,1.88833333333333,0.921060606060606
2005,24.2626923076923,18.5289873417722,22.011125,17.9529268292683,-6.30976547842402,15.815974025974,13.3305,13.549375,14.5717073170732,-1.24426670890085,16.0697435897436,14.043125,21.2691139240506,16.1303614457831,0.0606178560395421,24.7795412094083,15.6881035147769,12.9302711425058,10.0094334741926,-14.7701077352157,24.0249963636364,3.26663,3.52545285714286,2.890064,-21.1349323636364,0.916282051282051,1.26269230769231,1.80410256410256,1.92814814814815,1.0118660968661
2006,19.52,18.65275,19.7902469135802,15.7532142857143,-3.76678571428571,15.8318987341772,13.5455,13.1385185185185,13.4202409638554,-2.41165777032179,12.7118518518519,15.41,20.118,15.4465476190476,2.73469576719577,8.44259272951493,10.4873830513442,11.0254480103081,7.62984895090837,-0.812743778606563,4.58467333333333,3.49658153846154,3.22708421052632,2.8228325,-1.76184083333333,0.757948717948718,1.25925,1.904375,2.0644578313253,1.30650911337658
2007,10.5622619047619,9.94918604651163,15.8937647058824,13.6214942528736,3.05923234811166,8.87895348837209,8.40325581395349,11.6395348837209,10.39125,1.51229651162791,13.6605813953488,14.9607058823529,14.7297674418605,13.1125,-0.548081395348838,-3.09866887905606,4.72480799232133,2.16097681148377,-1.08634522948791,2.01232364956815,5.50563636363636,2.84234230769231,3.74457777777778,3.07588214285714,-2.42975422077922,0.957682926829268,1.32428571428571,1.63211764705882,1.92953488372093,0.971851956891662
2008,8.09901098901099,8.06031914893617,13.8092307692308,18.7430526315789,10.644041642568,9.63255319148936,8.07382978723404,8.35978723404255,9.7375,0.104946808510638,15.0589247311828,13.2229032258065,12.6778723404255,14.7259375,-0.332987231182795,-40.0161660834599,-46.5488474968168,-45.7504164710737,-43.6388198687794,-3.62265378531945,5.53795584415584,2.56280348837209,4.32713863636364,2.91705054945055,-2.6209052947053,1.24739130434783,1.63406593406593,2.10076086956522,2.17978947368421,0.932398169336384
2009,13.104375,14.5302040816327,20.8860824742268,21.6762745098039,8.57189950980392,12.370618556701,11.0147422680412,12.2527272727273,12.9116831683168,0.541064611615802,13.334,17.2781818181818,15.2846,17.7097087378641,4.37570873786408,92.4468312397927,101.737131459591,108.279157015694,81.0134820317081,-11.4333492080846,3.18572048192771,1.23849368421053,1.74664042553191,1.84447448979592,-1.34124599213179,2.28752577319588,3.04808080808081,3.3582,4.04148514851485,1.75395937531898
2010,16.4736363636364,14.1093203883495,25.9344,24.1741904761905,7.70055411255412,14.3666336633663,10.4200980392157,13.2326470588235,12.9891346153846,-1.37749904798172,18.6630097087379,16.6073529411765,16.486213592233,17.3692380952381,-1.29377161349977,35.2312350408413,29.1826131341073,25.8140295685761,20.9026814852051,-14.3285535556362,3.63561612903226,2.10636161616162,2.69913404255319,2.68664951456311,-0.948966614469151,0.980594059405941,1.58326732673267,1.83575757575758,2.22403846153846,1.24344440213252
2011,17.0754455445545,16.4848571428571,16.2694949494949,17.4867924528302,0.411346908275736,15.3812380952381,9.69761904761905,9.93346153846154,11.4241121495327,-3.95712594570538,19.8340384615385,16.3266666666667,18.1342857142857,15.6692523364486,-4.16478612508986,18.7890853844848,12.9966664316352,7.73961448411445,3.75640221366496,-15.0326831708198,4.21326703296703,2.68007722772277,2.82457551020408,2.76793113207547,-1.44533590089156,0.793980582524272,1.57970873786408,1.87754901960784,2.05216981132075,1.25818922879648
