"Year","ROE_P1","ROE_P2","ROE_P3","ROE_P4","ROE_LS","ROIC_P1","ROIC_P2","ROIC_P3","ROIC_P4","ROIC_LS","OP_Margin_P1","OP_Margin_P2","OP_Margin_P3","OP_Margin_P4","OP_Margin_LS","Excess_Return_P1","Excess_Return_P2","Excess_Return_P3","Excess_Return_P4","Excess_Return_LS","MB_Ratio_P1","MB_Ratio_P2","MB_Ratio_P3","MB_Ratio_P4","MB_Ratio_LS","DY_P1","DY_P2","DY_P3","DY_P4","DY_LS"
2002,14.7643396226415,19.661,19.1367924528302,19.5082142857143,4.74387466307278,8.38264150943396,8.14980769230769,11.6264150943396,11.4151785714286,3.03253706199461,16.6030188679245,13.2590384615385,17.0515094339623,16.20375,-0.39926886792453,-21.9623522112553,-23.9760715707758,-11.1177509261223,-23.9713166923061,-2.00896448105084,NA,NA,NA,NA,NA,1.55981132075472,1.50403846153846,1.7188679245283,1.71145454545455,0.151643224699828
2003,16.5846296296296,21.3287037037037,15.2805769230769,21.8262962962963,5.24166666666666,11.5144444444444,12.4059259259259,11.2116981132075,13.8311111111111,2.31666666666667,17.1696296296296,16.8396296296296,16.1003773584906,19.1972222222222,2.02759259259259,52.2854668524744,55.3428555846702,55.469404549406,43.4596588317,-8.82580802077431,2.56405777777778,3.10951875,2.88123863636364,3.07012115384615,0.506063376068376,1.99462962962963,1.48092592592593,2.30134615384615,2.36685185185185,0.372222222222222
2004,18.2768115942029,28.2233333333333,21.0421875,22.4145833333333,4.13777173913044,12.0813043478261,14.9714492753623,13.9906060606061,15.0998611111111,3.01855676328502,15.3531884057971,16.994347826087,17.6855882352941,17.6613888888889,2.30820048309179,20.2937286830635,17.1547632756024,9.97598387278832,8.02089729360831,-12.2728313894552,3.44482777777778,10.5012290322581,3.04555740740741,5.03368307692308,1.5888552991453,1.15279411764706,1.66147058823529,1.68215384615385,1.641,0.488205882352941
2005,17.7329113924051,24.7696103896104,21.26125,19.039156626506,1.30624523410096,13.3365384615385,15.2375641025641,13.56175,15.0527710843373,1.71623262279889,14.4182278481013,18.0127848101266,17.2684810126582,17.7073493975904,3.2891215494891,20.8039541339913,13.9720538923181,17.6050920080705,11.1480232571808,-9.65593087681048,3.23522931034483,20.462353125,3.458834375,3.54472702702703,0.309497716682199,1.03974358974359,1.28935897435897,1.78539473684211,1.80120481927711,0.761461229533519
2006,18.9450632911392,15.0546835443038,22.6196296296296,16.9391666666667,-2.00589662447258,13.7358227848101,12.666375,15.2592592592593,14.1930120481928,0.457189263382643,15.3177777777778,12.83725,16.3796296296296,18.9327380952381,3.61496031746032,10.5079174178609,7.36172751071408,10.7812129515136,8.9403214544823,-1.56759596337862,3.22209464285714,3.54331643835616,3.82346666666667,3.2381775,0.0160828571428571,1.17012658227848,1.35775,1.53012658227848,1.94722891566265,0.77710233338417
2007,12.2723529411765,9.88223529411765,14.9265882352941,12.9540229885057,0.681670047329275,10.2386046511628,7.43767441860465,11.0777906976744,10.5551136363636,0.316508985200846,17.8604651162791,9.97776470588235,15.1029069767442,13.4564772727273,-4.4039878435518,13.9204076604019,-9.51325855415453,1.80131807688292,-2.72628045212679,-16.6466881125287,3.41939733333333,4.58404050632911,3.82668271604938,3.27960352941176,-0.139793803921569,0.903086419753086,1.50941176470588,1.51785714285714,1.90218390804598,0.999097488292891
2008,6.20096774193548,11.3728260869565,13.1657777777778,17.9583333333333,11.7573655913978,8.61329787234042,8.92436170212766,8.5786170212766,9.6884375,1.07513962765958,16.1621505376344,12.9669892473118,12.4628723404255,14.115625,-2.04652553763441,-44.1478475524584,-42.65704744744,-47.2226768808171,-41.9074127353128,2.2404348171456,5.38618051948052,2.70528470588235,2.85233294117647,4.27294842105263,-1.11323209842789,1.15021978021978,1.86615384615385,1.96096774193548,2.17842105263158,1.0282012724118
2009,13.0050515463918,16.7671578947368,18.7469387755102,21.6246601941748,8.619608647783,11.1178125,12.9184693877551,11.7927835051546,12.7015533980583,1.58374089805825,12.919595959596,18.039,15.8027,16.8280582524272,3.90846229283122,93.313959637715,106.592714312881,99.9952794157996,83.783633015035,-9.53032662268005,1.78169156626506,2.60015376344086,1.65603010752688,1.8149396039604,0.0332480376953357,1.98092783505155,3.49727272727273,3.38212121212121,3.8671568627451,1.88622902769355
2010,15.0055882352941,15.916,27.8455445544554,21.9356730769231,6.93008484162896,12.4715841584158,12.0202941176471,13.1166336633663,13.3714285714286,0.899844413012731,19.7891176470588,15.3926213592233,18.1616504854369,15.8429523809524,-3.94616526610644,34.7937145470843,26.3889438172533,25.8719442324613,24.2379212016103,-10.555793345474,2.83089673913043,2.79799504950495,2.58393333333333,2.8518427184466,0.020945979316167,0.888979591836735,1.80588235294118,1.92306930693069,1.985,1.09602040816327
2011,17.1293137254902,12.8446601941748,17.5584466019417,19.8165048543689,2.68719112887874,13.4802857142857,7.88295238095238,12.0229807692308,13.0393457943925,-0.440939919893191,19.6045192307692,16.5759047619048,17.4288571428571,16.34,-3.26451923076923,19.4627433323592,6.07661958663524,10.4278604087204,7.4223690762215,-12.0403742561377,4.2806097826087,2.40855454545455,2.4336359223301,3.34683039215686,-0.933779390451833,0.88029702970297,1.49711538461538,1.80846153846154,2.1032380952381,1.22294106553512
