"Year","ROE_P1","ROE_P2","ROE_P3","ROE_P4","ROE_LS","ROIC_P1","ROIC_P2","ROIC_P3","ROIC_P4","ROIC_LS","OP_Margin_P1","OP_Margin_P2","OP_Margin_P3","OP_Margin_P4","OP_Margin_LS","Excess_Return_P1","Excess_Return_P2","Excess_Return_P3","Excess_Return_P4","Excess_Return_LS","MB_Ratio_P1","MB_Ratio_P2","MB_Ratio_P3","MB_Ratio_P4","MB_Ratio_LS","DY_P1","DY_P2","DY_P3","DY_P4","DY_LS"
2002,12.1584615384615,16.9451923076923,15.9407547169811,27.5276363636364,15.3691748251748,8.17519230769231,10.6681132075472,9.71792452830189,11.0348214285714,2.85962912087912,16.5086538461538,15.0379245283019,15.3550943396226,16.2730357142857,-0.235618131868129,-23.3713115742708,-18.3527890601004,-19.7914140204422,-19.6397398208473,3.73157175342357,NA,NA,NA,NA,NA,1.37153846153846,1.21807692307692,1.8488679245283,2.02607142857143,0.654532967032967
2003,17.3159259259259,20.7009433962264,15.8984905660377,21.2166666666667,3.90074074074074,11.2387037037037,12.8771698113208,11.9105555555556,12.9675925925926,1.72888888888889,17.8142592592593,17.3937735849057,16.0727777777778,18.05,0.235740740740741,52.4718327365194,55.0394877330094,51.0450778868542,47.9850646168158,-4.48676811970351,2.95214042553192,2.94998723404255,2.57919565217391,3.16361836734694,0.211477941815024,1.58685185185185,1.62384615384615,2.16425925925926,2.7437037037037,1.15685185185185
2004,19.0935294117647,25.2791304347826,19.285223880597,26.2047142857143,7.11118487394958,12.1744117647059,14.7152173913043,14.1326086956522,15.1264285714286,2.95201680672269,15.6514705882353,19.0644927536232,15.9128985507246,17.0622222222222,1.41075163398693,16.7141277864216,13.300505347984,12.2052343628096,13.3011673656876,-3.41296042073405,3.35509137931034,3.79538196721311,3.42855964912281,11.9865237288136,8.63143234950321,1.39318181818182,1.29823529411765,1.37910447761194,2.04214285714286,0.648961038961039
2005,17.6911538461538,21.6137974683544,20.794625,22.4187804878049,4.72762664165103,12.7711688311688,15.2454430379747,14.38325,14.7550602409639,1.98389140979502,14.9656962025316,17.9258227848101,16.9929113924051,17.5313253012048,2.56562909867317,20.0557634872552,15.8659900307231,16.4960426738943,11.0565750840184,-8.99918840323672,3.31305593220339,3.66764461538462,3.24625692307692,18.8173971830986,15.5043412508952,1.12142857142857,1.29298701298701,1.62354430379747,1.86207317073171,0.740644599303136
2006,18.876329113924,18.510253164557,16.519012345679,19.6366666666667,0.760337552742616,13.0254430379747,15.6950632911392,15.0361728395062,12.2096428571429,-0.815800180831827,14.3935802469136,17.327037037037,17.203375,14.7521428571429,0.358562610229276,10.282282224271,9.40873353276658,7.47287099283619,10.364816930342,0.0825347060709252,3.34466507936508,3.75505694444444,3.31365616438356,3.43107260273973,0.0864075233746466,1.29807692307692,1.472625,1.298,1.93566265060241,0.637585727525487
2007,12.6021428571429,6.56270588235294,14.7136470588235,16.0435227272727,3.44137987012987,9.40372093023256,9.36197674418605,10.3720930232558,10.1801136363636,0.776392706131078,16.2786046511628,15.0291764705882,11.2448837209302,13.8935227272727,-2.38508192389006,10.7400674632594,-0.529184636374214,-3.52067632802131,-3.43872515008631,-14.1787926133457,3.54547866666667,3.55054404761905,4.6358141025641,3.39242771084337,-0.153050955823293,1.04543209876543,1.37686046511628,1.5766265060241,1.84471264367816,0.799280544912729
2008,11.2749462365591,7.06087912087912,12.3173626373626,17.9158333333333,6.64088709677419,9.44329787234043,9.18989361702128,8.0236170212766,9.15916666666667,-0.284131205673757,15.2041489361702,13.0620652173913,13.4558510638298,13.9569791666667,-1.24716976950355,-45.3590630382501,-42.7221678534454,-45.2196697565089,-42.6710164868397,2.68804655141032,3.39145679012346,6.42295443037975,2.82454597701149,2.79164842105263,-0.599808369070825,1.17913043478261,1.51868131868132,1.84461538461538,2.5965625,1.41743206521739
2009,15.6514285714286,18.2294736842105,15.7628571428571,20.6716666666667,5.0202380952381,12.7403092783505,13.1840206185567,10.0482653061224,12.6087254901961,-0.131583788154437,14.1523232323232,16.758,15.2589,17.414854368932,3.26253113660881,98.1499285941728,105.390272502408,86.1027382944247,93.8357342059811,-4.31419438819169,2.91340476190476,1.89044301075269,1.32900744680851,1.83384343434343,-1.07956132756133,2.27051546391753,2.84141414141414,3.62757575757576,3.99009803921569,1.71958257529816
2010,20.9707920792079,17.1895098039216,23.6724509803922,18.9206862745098,-2.05010580469812,13.4823762376238,10.8515533980583,14.3557425742574,12.3569230769231,-1.12545316070069,19.9828431372549,16.1646601941748,16.7001941747573,16.3310476190476,-3.65179551820728,33.7735265483691,27.2440439452211,30.0201423063354,20.2110463073797,-13.5624802409894,3.12953548387097,2.52094948453608,2.964442,2.47537878787879,-0.65415669599218,1.19020408163265,1.36891089108911,1.6504854368932,2.39893203883495,1.2087279572023
2011,18.3594059405941,15.1826213592233,16.1435643564356,17.6528301886792,-0.706575751914812,11.64,11.8100961538462,11.8088571428571,11.1996261682243,-0.440373831775702,19.5783653846154,17.0861904761905,15.5720952380952,17.6867289719626,-1.89163641265277,18.1521501299351,8.33192730418853,8.13456190528556,8.72066388742643,-9.43148624250863,4.23253695652174,2.94058217821782,2.82739117647059,2.47047623762376,-1.76206071889798,0.977722772277228,1.25163461538462,2.05711538461538,2.00638095238095,1.02865818010372
2012,15.3929702970297,22.2931067961165,21.0717475728155,16.3879439252336,0.994973628203944,12.0734951456311,14.0604807692308,13.1956730769231,10.5353271028037,-1.53816804282733,19.8633333333333,19.2222857142857,17.2668571428571,16.5227777777778,-3.34055555555556,18.6582616831443,17.5035498070106,15.5649614874959,18.7227245631033,0.0644628799589704,3.93172164948454,2.960583,2.715055,5.46318285714286,1.53146120765832,1.14825242718447,1.61923076923077,1.88951923076923,2.32509259259259,1.17684016540813
2013,16.1364,18.6822857142857,18.048640776699,23.104495412844,6.96809541284404,12.0303738317757,12.5251428571429,11.7875238095238,11.5687962962963,-0.461577535479403,17.8291588785047,18.9557943925234,16.9326168224299,17.5818181818182,-0.247340696686489,42.4006585023329,31.8740549805822,26.1589188943091,25.8548314026455,-16.5458270996874,4.91696354166667,3.00368686868687,2.79882952380952,3.32542169811321,-1.59154184355346,1.14471153846154,1.76160377358491,1.91405660377358,2.40532110091743,1.26060956245589
2014,18.2784761904762,18.9190384615385,21.7957547169811,26.9673636363636,8.68888744588745,9.91536363636364,11.1643119266055,12.5763636363636,10.7675,0.852136363636363,17.1496363636364,18.8556363636364,18.7254545454545,15.465,-1.68463636363636,23.1376129309791,17.9011428393351,20.1174813114047,21.1823930800598,-1.95521985091937,5.95874848484848,3.20680576923077,3.36197428571429,4.77542342342342,-1.18332506142506,1.17140186915888,1.61339449541284,1.88100917431193,2.20267857142857,1.03127670226969
2015,19.6861403508772,21.8653913043478,16.330701754386,28.0994736842105,8.41333333333333,11.3673109243697,11.4095762711864,10.167731092437,11.942268907563,0.574957983193276,17.6916806722689,18.4416806722689,17.4878151260504,15.8458823529412,-1.84579831932773,-0.845725919214858,-5.29613686326496,-3.33504394259219,-4.49204871042499,-3.64632279121013,7.76716635514019,4.37846403508772,3.80911339285714,5.27873739130435,-2.48842896383584,1.04878260869565,1.6471186440678,1.73669491525424,2.11449152542373,1.06570891672808
2016,19.3028205128205,18.9966086956522,19.4771794871795,22.6461607142857,3.3433402014652,11.8058333333333,11.6855833333333,10.5629166666667,12.4685,0.662666666666667,17.76075,18.8365,18.3021666666667,18.101,0.340250000000001,28.449000518856,29.025034734668,33.5089261181061,33.2821009930627,4.83310047420669,6.44201081081081,3.47176608695652,3.86245752212389,8.89526964285714,2.45325883204633,1.4046218487395,1.72575,2.14483333333333,2.49680672268908,1.09218487394958
2017,20.2534745762712,27.1414406779661,25.3818103448276,21.8393636363636,1.58588906009245,12.7627868852459,14.4087704918033,13.7435245901639,13.9767213114754,1.21393442622951,18.1966393442623,19.6845081967213,19.4749180327869,18.1081967213115,-0.0884426229508186,20.8084876089108,14.7515998631162,10.3284907605942,14.7504677410129,-6.05801986789784,5.89733839285714,6.2342641025641,5.48208173913044,9.89057631578947,3.99323792293233,1.24058333333333,1.59983333333333,1.78352459016393,2.08181818181818,0.841234848484849
2018,22.5117094017094,20.0020175438597,24.855593220339,27.2851724137931,4.7734630120837,14.1581147540984,14.8805737704918,12.5454918032787,13.73768,-0.420434754098361,17.2339669421488,19.6066393442623,18.9985245901639,18.15168,0.917713057851238,15.1538766643121,10.6658505618694,6.16763483015463,4.05623640125937,-11.0976402630527,10.1228265486726,6.07666608695652,4.74821525423729,8.1181796460177,-2.00464690265487,1.34882352941176,1.82303278688525,1.76926229508197,2.07451612903226,0.725692599620493
