Year,Covariance Factor 1,Covariance Factor 2,Covariance Factor 3
1927,0.434456440475474,0.105533514309581,1.44563087718043
1928,-0.0693108333995442,0.224098379231235,1.73628611491284
1929,0.344526663247292,-0.201740076166687,-0.938106593447255
1930,0.121770186610594,-0.535566677790164,-1.52899918282548
1931,0.354929459258288,-1.96703138836334,-2.21432394319572
1932,0.152617257479606,-0.104394871693604,-0.497570184918132
1933,-0.639991843576553,4.35302872942716,2.84011257364751
1934,-0.171997691834475,0.483097855513108,0.173803073001056
1935,-0.478271308331256,3.88194664831694,2.2716449676978
1936,-0.687620172062013,2.6165177591292,1.59968760618863
1937,0.542045134231412,-2.77960224509433,-1.72250305458653
1938,-0.159922557583795,1.96041909147596,1.39040357042145
1939,-0.0491383937262638,0.266264156185221,0.0918461191669315
1940,0.456802982286986,-0.379813933897701,-0.341480875871921
1941,0.0675332816142477,-0.360930925416445,-0.522445886386147
1942,-0.241002853012619,0.584093870549266,0.809139452446329
1943,-1.16331186499408,0.536420116014165,1.42623266159865
1944,-0.719932191371576,0.724754563109408,1.02470363141021
1945,-1.50497940260458,0.72128384666148,1.94380857149361
1946,0.0205736211551375,-0.226758813681992,-0.368665616332912
1947,0.223468972022656,0.248296500268789,0.141436835760297
1948,0.159543943250664,0.092883910906762,0.0402131107718925
1949,-0.836944947096823,-0.481087988223773,0.93413903996933
1950,-1.61314659625813,-0.324913395141624,1.42464749827456
1951,-1.08834680287417,-0.261418672982713,0.956818581161026
1952,-0.134694953891639,0.0138646960240794,0.570266668996405
1953,0.415941652975879,0.47384598210729,-0.0405334089123096
1954,-3.57742362123969,-1.97388000721901,2.45174433931708
1955,-1.4822235054492,-0.874033233480234,1.14900976392322
1956,-0.188609184804178,-0.168995057395309,0.264968749888693
1957,0.701070087244869,0.665241846097568,-0.679259369429576
1958,-2.80858125977181,-1.62661296061753,2.14500775024947
1959,-0.406386802455107,-0.43823235452026,0.49158444068792
1960,0.138984303687616,-0.297316565313051,-0.0772544766296381
1961,-1.48403950909111,-1.22347041768694,1.20587765671552
1962,0.700760582472396,0.630744830303612,-0.633791533129947
1963,-0.597664297280309,-0.962727963480886,0.831096602392993
1964,-0.395598301978991,-0.912302791654771,0.603704271286218
1965,-0.318115415736254,-0.370894025281188,0.563103965733745
1966,0.487783994861184,0.962114195848407,-0.696191603889503
1967,-0.280455064070853,-1.01747221930824,1.21167994358247
1968,0.123639210789051,-0.253655144504476,0.402154640734073
1969,0.6311545274926,1.24279903715939,-0.862079364859592
1970,0.121223651802753,0.627394079069564,-0.309473675064322
1971,-0.164608182465776,-0.34711148299081,0.568642611546817
1972,-0.156015484600358,-0.885553081908453,0.654142554247925
1973,0.554655535509997,1.88653817173247,-1.31542004345366
1974,0.59993106761774,2.39445547948975,-1.74708024798016
1975,-0.263722616433607,-1.4859127953112,1.60397072713795
1976,-0.658626019210594,-0.796760762164351,1.06740557463402
1977,0.458489380185184,0.424028024644655,-0.42495765433393
1978,-0.0338806822397516,-0.33142554979778,0.0680128057843713
1979,-0.422862841808346,-0.554867458509296,0.642806233574289
1980,-0.118255768183705,-0.452516624996453,1.0789108107925
1981,0.0650524719816555,0.539635614779884,-0.869968632544494
1982,0.112852847955848,-0.207546071349256,0.533175958727931
1983,0.298499578309571,-0.302226735751552,0.67457668608922
1984,0.109304016297936,0.174496867861156,-0.325024483955367
1985,0.362219397330512,-0.20210460661189,1.23183445114733
1986,0.0400755997099101,-0.0296709890543586,0.507357855880401
1987,0.23580102858959,0.134204579996669,-0.191379495922086
1988,0.132891941629901,-0.360625223904161,0.536519082596374
1989,0.188411184699096,-0.383906869894287,1.03344599971819
1990,-0.466242352970988,0.312626326934053,-0.707820152553054
1991,0.617834545827752,-0.760897577647361,1.47836536526758
1992,0.442928095376938,-0.0223051538309135,0.310753878048262
1993,0.268368074253704,-0.404251887223171,0.438200036230931
1994,-0.213374385868338,0.156593073150138,-0.230370937755706
1995,1.68455369836358,-1.24891823188357,1.57069664070633
1996,1.04813562894108,-0.35993682444803,0.786921498608512
1997,1.92489724495113,-0.831509237103306,1.2619661769989
1998,1.00693975949364,-0.535835324989615,0.953804977354974
1999,0.779821977229128,-0.717104231664287,1.02258049339113
2000,-0.993734044962212,0.620368803902015,-0.895712130662133
2001,-1.20868284299618,0.474120128286895,-0.729971243549095
2002,-1.43465856830446,0.893181065929625,-1.15754837398139
2003,2.09565989039412,-0.2807451250967,1.54401660656523
2004,0.724524892487623,-0.199143634878828,0.522219669051855
2005,0.155527435414069,-0.108011629834203,0.123540566100217
2006,0.852196404808939,-0.284093517238606,0.542815335359772
2007,0.247169851753076,0.427954818295671,0.0417528845227912
2008,-2.38350446474339,0.987230334776603,-1.90872713256689
2009,2.04510861011103,-0.298331012125003,1.39582076774548
2010,1.38530377206511,-0.209319631828234,0.836917945364955
2011,0.228676035253449,0.0732324361684637,-0.0125914181710154
2012,1.25831335671959,0.125964298980904,0.795494975546905
2013,2.75304859181545,-0.285002803103269,1.73250328828389
2014,0.847159690722967,-0.317105977503795,0.593319626078637
2015,0.166015228540617,-0.0108682476929223,0.0416695815168833
2016,0.752072964239812,0.0705504203111651,0.705223403793345
2017,1.59393870728139,0.437379217224057,1.06457115178952
2018,-0.589040161114843,0.417607533298168,-0.335645157376903
2019,1.86943769799543,0.106678604730397,1.38880840066378
2020,1.4322333542187,0.016799548415244,1.16728217916897
2021,1.57877510934377,0.0520679088926827,1.21447046068165
2022,-1.16267954603976,0.14773473673557,-1.07305210563597
2023,1.2299601561128,0.386380588065776,1.09798618430541
